"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"        Margin of Error","±926"
"    Percent Distribution",""
"        Estimate","108,900"
"        Margin of Error","±926"
"    Median income (dollars)",""
"        Estimate","66,106"
"        Margin of Error","±1,808"
"Yuma County, Arizona",""
"    Number",""
"        Estimate","76,903"
"        Margin of Error","±951"
"    Percent Distribution",""
"        Estimate","76,903"
"        Margin of Error","±951"
"    Median income (dollars)",""
"        Estimate","60,417"
"        Margin of Error","±1,438"
"Arkansas County, Arkansas",""
"    Number",""
"        Estimate","6,587"
"        Margin of Error","±275"
"    Percent Distribution",""
"        Estimate","6,587"
"        Margin of Error","±275"
"    Median income (dollars)",""
"        Estimate","60,831"
"        Margin of Error","±3,616"
"Ashley County, Arkansas",""
"    Number",""
"        Estimate","7,199"
"        Margin of Error","±253"
"    Percent Distribution",""
"        Estimate","7,199"
"        Margin of Error","±253"
"    Median income (dollars)",""
"        Estimate","44,481"
"        Margin of Error","±4,230"
"Baxter County, Arkansas",""
"    Number",""
"        Estimate","19,289"
"        Margin of Error","±408"
"    Percent Distribution",""
"        Estimate","19,289"
"        Margin of Error","±408"
"    Median income (dollars)",""
"        Estimate","48,427"
"        Margin of Error","±2,668"
"Benton County, Arkansas",""
"    Number",""
"        Estimate","107,667"
"        Margin of Error","±961"
"    Percent Distribution",""
"        Estimate","107,667"
"        Margin of Error","±961"
"    Median income (dollars)",""
"        Estimate","89,879"
"        Margin of Error","±2,078"
"Boone County, Arkansas",""
"    Number",""
"        Estimate","15,232"
"        Margin of Error","±363"
"    Percent Distribution",""
"        Estimate","15,232"
"        Margin of Error","±363"
"    Median income (dollars)",""
"        Estimate","54,195"
"        Margin of Error","±2,906"
"Bradley County, Arkansas",""
"    Number",""
"        Estimate","3,600"
"        Margin of Error","±182"
"    Percent Distribution",""
"        Estimate","3,600"
"        Margin of Error","±182"
"    Median income (dollars)",""
"        Estimate","39,565"
"        Margin of Error","±7,789"
"Calhoun County, Arkansas",""
"    Number",""
"        Estimate","1,584"
"        Margin of Error","±130"
"    Percent Distribution",""
"        Estimate","1,584"
"        Margin of Error","±130"
"    Median income (dollars)",""
"        Estimate","63,654"
"        Margin of Error","±5,566"
"Carroll County, Arkansas",""
"    Number",""
"        Estimate","11,106"
"        Margin of Error","±388"
"    Percent Distribution",""
"        Estimate","11,106"
"        Margin of Error","±388"
"    Median income (dollars)",""
"        Estimate","55,187"
"        Margin of Error","±6,324"
"Chicot County, Arkansas",""
"    Number",""
"        Estimate","3,919"
"        Margin of Error","±183"
"    Percent Distribution",""
"        Estimate","3,919"
"        Margin of Error","±183"
"    Median income (dollars)",""
"        Estimate","39,683"
"        Margin of Error","±5,162"
"Clark County, Arkansas",""
"    Number",""
"        Estimate","8,147"
"        Margin of Error","±264"
"    Percent Distribution",""
"        Estimate","8,147"
"        Margin of Error","±264"
"    Median income (dollars)",""
"        Estimate","50,985"
"        Margin of Error","±4,659"
"Clay County, Arkansas",""
"    Number",""
"        Estimate","6,116"
"        Margin of Error","±225"
"    Percent Distribution",""
