"Label (Grouping)","Population 1 year and over"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Walker County, Alabama",""
"    Total",""
"        Estimate","64,249"
"        Margin of Error","±197"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Washington County, Alabama",""
"    Total",""
"        Estimate","15,113"
"        Margin of Error","±71"
"    Moved; within same county",""
"        Estimate","1.8%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±2.4"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Wilcox County, Alabama",""
"    Total",""
"        Estimate","10,231"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
